"Job","Salary","Requirements(The dash(-) means or)"
"Animal scientists","$72,890","Doctoral Degree: Agricultural Animal Breeding - Agriculture, General - Animal Health - Animal Nutrition - Animal Sciences, General - Animal Sciences, Other - Dairy Science - Poultry Science - Range Science and Management -"
"Anthropologists and archeologists","$66,440","any: Anthropology, Other - Anthropology - Archeology - Cultural Anthropology - Human Biology - Medical Anthropology - Physical and Biological Anthropology - Sociology and Anthropology -"
"Astronomers","$110,380","Post-Doctoral Training: Astronomy and Astrophysics, Other - Astronomy - Astrophysics - Planetary Astronomy and Science -"
"Atmospheric and space scientists","$94,840","Bachelor's Degree: Atmospheric Chemistry and Climatology - Atmospheric Physics and Dynamics - Atmospheric Sciences and Meteorology, General - Atmospheric Sciences and Meteorology, Other - Meteorology -"
"Biochemists and biophysicists","$94,340","Post-Doctoral Training: Biochemistry and Molecular Biology - Biochemistry - Biophysics - Cell/Cellular Biology and Anatomical Sciences, Other - Molecular Biochemistry - Molecular Biophysics -"
"Bioinformatics scientists","$77,830","Bachelor's Degree: Anatomy - Animal Genetics - Animal Physiology - Aquatic Biology/Limnology - Biochemistry and Molecular Biology - Biological and Biomedical Sciences, Other - Biology/Biological Sciences, General - Biomathematics, Bioinformatics, and Computational Biology, Other - Biometry/Biometrics - Biostatistics - Biotechnology - Botany/Plant Biology, Other - Botany/Plant Biology - Cell Biology and Anatomy - Cell/Cellular and Molecular Biology - Cell/Cellular Biology and Anatomical Sciences, Other - Cell/Cellular Biology and Histology - Computational Biology - Conservation Biology - Developmental Biology and Embryology - Ecology and Evolutionary Biology - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Entomology - Environmental Biology - Evolutionary Biology - Genetics, General - Genetics, Other - Genome Sciences/Genomics - Human Biology - Immunology - Marine Biology and Biological Oceanography - Marine Sciences - Mathematical Biology - Medical Microbiology and Bacteriology - Microbial and Eukaryotic Genetics - Microbiology and Immunology - Molecular Biology - Molecular Genetics - Mycology - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuroscience - Nutrition Sciences - Parasitology - Pathology/Experimental Pathology - Pharmacology - Photobiology - Plant Genetics - Plant Molecular Biology - Plant Pathology/Phytopathology - Plant Physiology - Population Biology - Radiation Biology/Radiobiology - Systematic Biology/Biological Systematics - Toxicology - Virology -"
"Biological scientists all other","$77,830","any: Anatomy - Animal Genetics - Animal Physiology - Aquatic Biology/Limnology - Biochemistry and Molecular Biology - Biological and Biomedical Sciences, Other - Biology/Biological Sciences, General - Biomathematics, Bioinformatics, and Computational Biology, Other - Biometry/Biometrics - Biostatistics - Biotechnology - Botany/Plant Biology, Other - Botany/Plant Biology - Cell Biology and Anatomy - Cell/Cellular and Molecular Biology - Cell/Cellular Biology and Anatomical Sciences, Other - Cell/Cellular Biology and Histology - Computational Biology - Conservation Biology - Developmental Biology and Embryology - Ecology and Evolutionary Biology - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Entomology - Environmental Biology - Evolutionary Biology - Genetics, General - Genetics, Other - Genome Sciences/Genomics - Human Biology - Immunology - Marine Biology and Biological Oceanography - Marine Sciences - Mathematical Biology - Medical Microbiology and Bacteriology - Microbial and Eukaryotic Genetics - Microbiology and Immunology - Molecular Biology - Molecular Genetics - Mycology - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuroscience - Nutrition Sciences - Parasitology - Pathology/Experimental Pathology - Pharmacology - Photobiology - Plant Genetics - Plant Molecular Biology - Plant Pathology/Phytopathology - Plant Physiology - Population Biology - Radiation Biology/Radiobiology - Systematic Biology/Biological Systematics - Toxicology - Virology -"
"Biological technicians","$46,130","Bachelor's Degree: Biology Technician/Biotechnology Laboratory Technician -"
"Biologists","$77,830","Master's Degree: Anatomy - Animal Genetics - Animal Physiology - Aquatic Biology/Limnology - Biochemistry and Molecular Biology - Biological and Biomedical Sciences, Other - Biology/Biological Sciences, General - Biomathematics, Bioinformatics, and Computational Biology, Other - Biometry/Biometrics - Biostatistics - Biotechnology - Botany/Plant Biology, Other - Botany/Plant Biology - Cell Biology and Anatomy - Cell/Cellular and Molecular Biology - Cell/Cellular Biology and Anatomical Sciences, Other - Cell/Cellular Biology and Histology - Computational Biology - Conservation Biology - Developmental Biology and Embryology - Ecology and Evolutionary Biology - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Entomology - Environmental Biology - Evolutionary Biology - Genetics, General - Genetics, Other - Genome Sciences/Genomics - Human Biology - Immunology - Marine Biology and Biological Oceanography - Marine Sciences - Mathematical Biology - Medical Microbiology and Bacteriology - Microbial and Eukaryotic Genetics - Microbiology and Immunology - Molecular Biology - Molecular Genetics - Mycology - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuroscience - Nutrition Sciences - Parasitology - Pathology/Experimental Pathology - Pharmacology - Photobiology - Plant Genetics - Plant Molecular Biology - Plant Pathology/Phytopathology - Plant Physiology - Population Biology - Radiation Biology/Radiobiology - Systematic Biology/Biological Systematics - Toxicology - Virology -"
"Chemical technicians","$49,770","Associate's Degree: Chemical Process Technology - Chemical Technology/Technician -"
"Chemists","$80,820","Bachelor's Degree: Analytical Chemistry - Chemical Physics - Chemistry, General - Chemistry, Other - Environmental Chemistry - Forensic Chemistry - Inorganic Chemistry - Materials Chemistry - Organic Chemistry - Physical Chemistry - Polymer Chemistry - Theoretical Chemistry -"
"Climate change analysts","$75,360","Master's Degree: Environmental Chemistry - Environmental Health - Environmental Science - Environmental Studies - Marine Sciences -"
"Clinical psychologists","$94,650","any: Applied Behavior Analysis - Applied Psychology - Behavioral Sciences - Clinical, Counseling and Applied Psychology, Other - Cognitive Psychology and Psycholinguistics - Community Psychology - Comparative Psychology - Educational Psychology - Environmental Psychology - Experimental Psychology - Family Psychology - Forensic Psychology - Personality Psychology - Physiological Psychology/Psychobiology - Psychology, General - Psychology, Other - Psychometrics and Quantitative Psychology - Psychopharmacology - Research and Experimental Psychology, Other - Social Psychology -"
"Conservation scientists","$65,130","any: Agroecology and Sustainable Agriculture - Forest Management/Forest Resources Management - Forest Sciences and Biology - Forestry, General - Land Use Planning and Management/Development - Natural Resources Management and Policy - Natural Resources/Conservation, General - Range Science and Management - Water, Wetlands, and Marine Resources Management - Wildlife, Fish and Wildlands Science and Management -"
"Economists","$112,860","Doctoral Degree: Agricultural Economics - Applied Economics - Business/Managerial Economics - Development Economics and International Development - Econometrics and Quantitative Economics - Economics, General - Economics, Other - Financial Mathematics - International Economics - Political Economy -"
"Environmental economists","$112,860","Doctoral Degree: Agricultural Economics - Applied Economics - Business/Managerial Economics - Development Economics and International Development - Econometrics and Quantitative Economics - Economics, General - Economics, Other - Financial Mathematics - International Economics - Political Economy -"
"Environmental restoration planners","$75,360","Master's Degree: Environmental Chemistry - Environmental Health - Environmental Science - Environmental Studies - Marine Sciences -"
"Environmental science and protection technicians including health","$62,240","Bachelor's Degree: Mining and Petroleum Technologies/Technicians, Other - Petroleum Technology/Technician -"
"Environmental scientists and specialists including health","$75,360","Bachelor's Degree: Environmental Chemistry - Environmental Health - Environmental Science - Environmental Studies - Marine Sciences -"
"Epidemiologists","$77,720","Master's Degree: Cell/Cellular Biology and Histology - Environmental Health - Epidemiology - Medical Scientist -"
"Food science technicians","$40,470","High School Diploma: Food Technology and Processing -"
"Food scientists and technologists","$71,270","Bachelor's Degree: Agriculture, General - Culinary Science/Culinology - Food Science - Food Technology and Processing - International Agriculture - Viticulture and Enology -"
"Forensic science technicians","$60,690","Bachelor's Degree: Forensic Chemistry - Forensic Science and Technology -"
"Foresters","$60,300","Bachelor's Degree: Forest Management/Forest Resources Management - Forest Resources Production and Management - Forest Sciences and Biology - Forestry, General - Forestry, Other - Natural Resources Management and Policy - Natural Resources/Conservation, General - Urban Forestry - Wood Science and Wood Products/Pulp and Paper Technology -"
"Geneticists","$77,830","Post-Doctoral Training: Anatomy - Animal Genetics - Animal Physiology - Aquatic Biology/Limnology - Biochemistry and Molecular Biology - Biological and Biomedical Sciences, Other - Biology/Biological Sciences, General - Biomathematics, Bioinformatics, and Computational Biology, Other - Biometry/Biometrics - Biostatistics - Biotechnology - Botany/Plant Biology, Other - Botany/Plant Biology - Cell Biology and Anatomy - Cell/Cellular and Molecular Biology - Cell/Cellular Biology and Anatomical Sciences, Other - Cell/Cellular Biology and Histology - Computational Biology - Conservation Biology - Developmental Biology and Embryology - Ecology and Evolutionary Biology - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Entomology - Environmental Biology - Evolutionary Biology - Genetics, General - Genetics, Other - Genome Sciences/Genomics - Human Biology - Immunology - Marine Biology and Biological Oceanography - Marine Sciences - Mathematical Biology - Medical Microbiology and Bacteriology - Microbial and Eukaryotic Genetics - Microbiology and Immunology - Molecular Biology - Molecular Genetics - Mycology - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuroscience - Nutrition Sciences - Parasitology - Pathology/Experimental Pathology - Pharmacology - Photobiology - Plant Genetics - Plant Molecular Biology - Plant Pathology/Phytopathology - Plant Physiology - Population Biology - Radiation Biology/Radiobiology - Systematic Biology/Biological Systematics - Toxicology - Virology -"
"Geographers","$74,090","Bachelor's Degree: Geography, Other - Geography -"
"Geoscientists except hydrologists and geographers","$106,390","Master's Degree: Geochemistry and Petrology - Geochemistry - Geological and Earth Sciences/Geosciences, Other - Geology/Earth Science, General - Geophysics and Seismology - Marine Sciences - Oceanography, Chemical and Physical - Paleontology -"
"Historians","$60,990","Master's Degree: American History (United States) - Ancient Studies/Civilization - Architectural History and Criticism, General - Asian History - Canadian History - Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology - Cultural Resource Management and Policy Analysis - European History - Historic Preservation and Conservation, Other - Historic Preservation and Conservation - History and Philosophy of Science and Technology - History, General - History, Other - Holocaust and Related Studies - Maritime Studies - Medieval and Renaissance Studies - Military History - Public/Applied History -"
"Hydrologists","$83,740","Master's Degree: Geology/Earth Science, General - Hydrology and Water Resources Science - Oceanography, Chemical and Physical -"
"Industrial ecologists","$75,360","Master's Degree: Environmental Chemistry - Environmental Health - Environmental Science - Environmental Studies - Marine Sciences -"
"Industrial organizational psychologists","$104,570","Doctoral Degree: Industrial and Organizational Psychology - Psychology, General -"
"Life scientists all other","$83,150","any: Behavioral Sciences - Biological and Biomedical Sciences, Other - Biology/Biological Sciences, General - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Natural Sciences - Nutrition Sciences - Rehabilitation Science -"
"Life physical and social science technicians all other","$49,270","any: Chemical Process Technology - Physical Science Technologies/Technicians, Other - Science Technologies/Technicians, General - Science Technologies/Technicians, Other -"
"Materials scientists","$101,570","Bachelor's Degree: Materials Chemistry - Materials Science - Materials Sciences, Other -"
"Medical scientists except epidemiologists","$95,000","Post-Doctoral Training: Aerospace Physiology and Medicine - Anatomy - Biochemistry - Biomedical Sciences, General - Biophysics - Biostatistics - Cardiovascular Science - Cell Physiology - Cell/Cellular Biology and Histology - Endocrinology - Environmental Toxicology - Epidemiology - Exercise Physiology - Gerontology - Human/Medical Genetics - Immunology - Medical Microbiology and Bacteriology - Medical Scientist - Molecular Biology - Molecular Medicine - Molecular Pharmacology - Molecular Physiology - Molecular Toxicology - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuropharmacology - Oncology and Cancer Biology - Pathology/Experimental Pathology - Pharmaceutical Sciences - Pharmacology and Toxicology, Other - Pharmacology and Toxicology - Pharmacology - Physiology, General - Physiology, Pathology, and Related Sciences, Other - Reproductive Biology - Toxicology - Vision Science/Physiological Optics -"
"Microbiologists","$76,850","Bachelor's Degree: Cell/Cellular Biology and Anatomical Sciences, Other - Microbiology and Immunology - Microbiology, General - Soil Microbiology - Structural Biology -"
"Molecular and cellular biologists","$77,830","Bachelor's Degree: Anatomy - Animal Genetics - Animal Physiology - Aquatic Biology/Limnology - Biochemistry and Molecular Biology - Biological and Biomedical Sciences, Other - Biology/Biological Sciences, General - Biomathematics, Bioinformatics, and Computational Biology, Other - Biometry/Biometrics - Biostatistics - Biotechnology - Botany/Plant Biology, Other - Botany/Plant Biology - Cell Biology and Anatomy - Cell/Cellular and Molecular Biology - Cell/Cellular Biology and Anatomical Sciences, Other - Cell/Cellular Biology and Histology - Computational Biology - Conservation Biology - Developmental Biology and Embryology - Ecology and Evolutionary Biology - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Entomology - Environmental Biology - Evolutionary Biology - Genetics, General - Genetics, Other - Genome Sciences/Genomics - Human Biology - Immunology - Marine Biology and Biological Oceanography - Marine Sciences - Mathematical Biology - Medical Microbiology and Bacteriology - Microbial and Eukaryotic Genetics - Microbiology and Immunology - Molecular Biology - Molecular Genetics - Mycology - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuroscience - Nutrition Sciences - Parasitology - Pathology/Experimental Pathology - Pharmacology - Photobiology - Plant Genetics - Plant Molecular Biology - Plant Pathology/Phytopathology - Plant Physiology - Population Biology - Radiation Biology/Radiobiology - Systematic Biology/Biological Systematics - Toxicology - Virology -"
"Nuclear monitoring technicians","$77,820","Associate's Degree: Industrial Radiologic Technology/Technician - Nuclear and Industrial Radiologic Technologies/Technicians, Other - Nuclear Engineering Technology/Technician - Nuclear/Nuclear Power Technology/Technician - Radiation Protection/Health Physics Technician -"
"Nuclear technicians","$77,820","any: Industrial Radiologic Technology/Technician - Nuclear and Industrial Radiologic Technologies/Technicians, Other - Nuclear Engineering Technology/Technician - Nuclear/Nuclear Power Technology/Technician - Radiation Protection/Health Physics Technician -"
"Park naturalists","$65,130","Bachelor's Degree: Agroecology and Sustainable Agriculture - Forest Management/Forest Resources Management - Forest Sciences and Biology - Forestry, General - Land Use Planning and Management/Development - Natural Resources Management and Policy - Natural Resources/Conservation, General - Range Science and Management - Water, Wetlands, and Marine Resources Management - Wildlife, Fish and Wildlands Science and Management -"
"Physical scientists all other","$98,460","any: Marine Sciences - Natural Sciences - Physical Sciences, Other -"
"Physicists","$121,770","Doctoral Degree: Acoustics - Astrophysics - Atomic/Molecular Physics - Condensed Matter and Materials Physics - Elementary Particle Physics - Engineering Physics/Applied Physics - Health/Medical Physics - Nuclear Physics - Optics/Optical Sciences - Physics, General - Physics, Other - Plasma and High-Temperature Physics - Theoretical and Mathematical Physics -"
"Political scientists","$112,250","Doctoral Degree: American Government and Politics (United States) - Canadian Government and Politics - International Policy Analysis - International Relations and Affairs - International Relations and National Security Studies, Other - International/Global Studies - National Security Policy Studies - Political Economy - Political Science and Government, General - Political Science and Government, Other - Public Policy Analysis, General -"
"Precision agriculture technicians","$40,470","Bachelor's Degree: Food Technology and Processing -"
"Psychologists all other","$94,650","any: Applied Behavior Analysis - Applied Psychology - Behavioral Sciences - Clinical, Counseling and Applied Psychology, Other - Cognitive Psychology and Psycholinguistics - Community Psychology - Comparative Psychology - Educational Psychology - Environmental Psychology - Experimental Psychology - Family Psychology - Forensic Psychology - Personality Psychology - Physiological Psychology/Psychobiology - Psychology, General - Psychology, Other - Psychometrics and Quantitative Psychology - Psychopharmacology - Research and Experimental Psychology, Other - Social Psychology -"
"Quality control analysts","$49,270","High School Diploma: Chemical Process Technology - Physical Science Technologies/Technicians, Other - Science Technologies/Technicians, General - Science Technologies/Technicians, Other -"
"Range managers","$65,130","Bachelor's Degree: Agroecology and Sustainable Agriculture - Forest Management/Forest Resources Management - Forest Sciences and Biology - Forestry, General - Land Use Planning and Management/Development - Natural Resources Management and Policy - Natural Resources/Conservation, General - Range Science and Management - Water, Wetlands, and Marine Resources Management - Wildlife, Fish and Wildlands Science and Management -"
"Remote sensing scientists and technologists","$98,460","Master's Degree: Marine Sciences - Natural Sciences - Physical Sciences, Other -"
"Remote sensing technicians","$49,270","Bachelor's Degree: Chemical Process Technology - Physical Science Technologies/Technicians, Other - Science Technologies/Technicians, General - Science Technologies/Technicians, Other -"
"School psychologists","$80,640","Post-Master's Certificate: Applied Behavior Analysis - Applied Psychology - Behavioral Sciences - Clinical Child Psychology - Clinical Psychology - Clinical, Counseling and Applied Psychology, Other - Cognitive Psychology and Psycholinguistics - Community Psychology - Comparative Psychology - Counseling Psychology - Developmental and Child Psychology - Educational Psychology - Environmental Psychology - Experimental Psychology - Family Psychology - Forensic Psychology - Geropsychology - Health/Medical Psychology - Industrial and Organizational Psychology - Personality Psychology - Physiological Psychology/Psychobiology - Psychoanalysis and Psychotherapy - Psychology, General - Psychology, Other - Psychometrics and Quantitative Psychology - Psychopharmacology - Research and Experimental Psychology, Other - School Psychology - Social Psychology -"
"Social science research assistants","$46,820","Bachelor's Degree: Social Sciences, General -"
"Social scientists and related workers all other","$80,860","any: Behavioral Sciences - Demography and Population Studies - Education Policy Analysis - Gerontology - Health Policy Analysis - Learning Sciences - Linguistic, Comparative, and Related Language Studies and Services, Other - Research Methodology and Quantitative Methods - Social Sciences, General - Social Sciences, Other -"
"Sociologists","$86,840","Doctoral Degree: Criminology - Demography and Population Studies - Research Methodology and Quantitative Methods - Rural Sociology - Sociology and Anthropology - Sociology - Urban Studies/Affairs -"
"Soil and plant scientists","$69,290","Doctoral Degree: Agricultural and Horticultural Plant Breeding - Agriculture, General - Agroecology and Sustainable Agriculture - Agronomy and Crop Science - Horticultural Science - Plant Protection and Integrated Pest Management - Plant Sciences, General - Plant Sciences, Other - Range Science and Management - Soil Chemistry and Physics - Soil Microbiology - Soil Science and Agronomy, General - Soil Sciences, Other - Viticulture and Enology -"
"Survey researchers","$59,950","Bachelor's Degree: Applied Economics - Business Statistics - Business/Managerial Economics - Economics, General - Marketing Research - Research Methodology and Quantitative Methods - Statistics, General -"
"Transportation planners","$80,860","Bachelor's Degree: Behavioral Sciences - Demography and Population Studies - Education Policy Analysis - Gerontology - Health Policy Analysis - Learning Sciences - Linguistic, Comparative, and Related Language Studies and Services, Other - Research Methodology and Quantitative Methods - Social Sciences, General - Social Sciences, Other -"
"Urban and regional planners","$73,060","Master's Degree: City/Urban, Community and Regional Planning - Real Estate Development - Urban Studies/Affairs -"
"Zoologists and wildlife biologists","$64,890","Bachelor's Degree: Animal Behavior and Ethology - Animal Physiology - Ecology - Entomology - Marine Sciences - Wildlife Biology - Wildlife, Fish and Wildlands Science and Management - Zoology/Animal Biology, Other - Zoology/Animal Biology -"
"Administrative services managers","$98,930","High School Diploma: Business Administration and Management, General - Business/Commerce, General - Medical/Health Management and Clinical Assistant/Specialist - Purchasing, Procurement/Acquisitions and Contracts Management -"
"Advertising and promotions managers","$117,810","Bachelor's Degree: Advertising - Marketing/Marketing Management, General - Public Relations, Advertising, and Applied Communication - Public Relations/Image Management -"
"Architectural and engineering managers","$143,870","Bachelor's Degree: Aerospace, Aeronautical and Astronautical/Space Engineering - Agricultural Engineering - Architectural and Building Sciences/Technology - Architectural Engineering - Architecture - Biochemical Engineering - Bioengineering and Biomedical Engineering - Biological/Biosystems Engineering - Ceramic Sciences and Engineering - Chemical and Biomolecular Engineering - Chemical Engineering, Other - Chemical Engineering - City/Urban, Community and Regional Planning - Civil Engineering, General - Civil Engineering, Other - Computer Engineering, General - Computer Engineering, Other - Computer Hardware Engineering - Computer Software Engineering - Construction Engineering - Electrical and Electronics Engineering - Electrical, Electronics and Communications Engineering, Other - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Engineering/Industrial Management - Environmental Design/Architecture - Environmental/Environmental Health Engineering - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Industrial Engineering - Interior Architecture - Landscape Architecture - Laser and Optical Engineering - Manufacturing Engineering - Materials Engineering - Materials Science - Mechanical Engineering - Mechatronics, Robotics, and Automation Engineering - Metallurgical Engineering - Mining and Mineral Engineering - Naval Architecture and Marine Engineering - Nuclear Engineering - Ocean Engineering - Packaging Science - Paper Science and Engineering - Petroleum Engineering - Polymer/Plastics Engineering - Structural Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering - Textile Sciences and Engineering - Transportation and Highway Engineering - Water Resources Engineering -"
"Biofuels production managers","$107,060","Bachelor's Degree: Business Administration and Management, General - Business/Commerce, General - Engineering/Industrial Management - Industrial Engineering - Logistics, Materials, and Supply Chain Management - Operations Management and Supervision -"
"Biomass power plant managers","$107,060","Bachelor's Degree: Business Administration and Management, General - Business/Commerce, General - Engineering/Industrial Management - Industrial Engineering - Logistics, Materials, and Supply Chain Management - Operations Management and Supervision -"
"Brownfield redevelopment specialists and site managers","$112,150","Bachelor's Degree: American Government and Politics (United States) - American History (United States) - Anthropology, Other - Anthropology - Applied Behavior Analysis - Applied Economics - Applied Psychology - Archeology - Archives/Archival Administration - Arts, Entertainment, and Media Management, Other - Arts, Entertainment,and Media Management, General - Asian History - Business Administration and Management, General - Business/Commerce, General - Canadian Government and Politics - Canadian History - Clinical Child Psychology - Clinical Psychology - Clinical Research Coordinator - Clinical, Counseling and Applied Psychology, Other - Cognitive Psychology and Psycholinguistics - Community Psychology - Comparative Psychology - Counseling Psychology - Criminal Justice/Law Enforcement Administration - Criminology - Crisis/Emergency/Disaster Management - Critical Infrastructure Protection - Cultural Anthropology - Demography and Population Studies - Development Economics and International Development - Developmental and Child Psychology - Digital Communication and Media/Multimedia - Econometrics and Quantitative Economics - Economics, General - Economics, Other - Educational Psychology - Entrepreneurship/Entrepreneurial Studies - Environmental Psychology - European History - Experimental Psychology - Family Psychology - Fine and Studio Arts Management - Fire Services Administration - Forensic Psychology - Franchising and Franchise Operations - Geographic Information Science and Cartography - Geography, Other - Geography - Geropsychology - Golf Course Operation and Grounds Management - Health/Medical Psychology - History and Philosophy of Science and Technology - History, General - History, Other - Homeland Security - Hospitality Administration/Management, Other - Industrial and Organizational Psychology - Information Technology Project Management - International Economics - International Relations and Affairs - International Relations and National Security Studies, Other - Law Enforcement Record-Keeping and Evidence Management - Library and Information Science - Medical Anthropology - Military History - National Security Policy Studies - Natural Resource Recreation and Tourism - Non-Profit/Public/Organizational Management - Parks, Recreation and Leisure Facilities Management, Other - Personality Psychology - Physical and Biological Anthropology - Physiological Psychology/Psychobiology - Political Economy - Political Science and Government, General - Political Science and Government, Other - Project Management - Psychology, General - Psychology, Other - Psychometrics and Quantitative Psychology - Psychopharmacology - Public Administration - Public/Applied History - Research and Development Management - Research and Experimental Psychology, Other - Research Methodology and Quantitative Methods - Rural Sociology - School Psychology - Small Business Administration/Management - Social Psychology - Social Sciences, General - Social Sciences, Other - Sociology and Anthropology - Sociology - Telecommunications Management - Terrorism and Counterterrorism Operations - Theatre/Theatre Arts Management - Tourism and Travel Services Management - Urban Studies/Affairs -"
"Chief executives","$194,350","Master's Degree: Business Administration and Management, General - Business/Commerce, General - Entrepreneurship/Entrepreneurial Studies - Finance, General - International Business/Trade/Commerce - Management Science - Public Administration -"
"Chief sustainability officers","$194,350","Bachelor's Degree: Business Administration and Management, General - Business/Commerce, General - Entrepreneurship/Entrepreneurial Studies - Finance, General - International Business/Trade/Commerce - Management Science - Public Administration -"
"Clinical research coordinators","$136,150","Bachelor's Degree: Acoustics - Aerospace Physiology and Medicine - Algebra and Number Theory - Analysis and Functional Analysis - Analytical Chemistry - Anatomy - Animal Genetics - Animal Physiology - Applied Mathematics, General - Applied Mathematics, Other - Astronomy and Astrophysics, Other - Astronomy - Astrophysics - Atmospheric Chemistry and Climatology - Atmospheric Physics and Dynamics - Atmospheric Sciences and Meteorology, General - Atmospheric Sciences and Meteorology, Other - Atomic/Molecular Physics - Biochemistry and Molecular Biology - Biochemistry, Biophysics and Molecular Biology, Other - Biochemistry - Biological and Biomedical Sciences, Other - Biological and Physical Sciences - Biology/Biological Sciences, General - Biomathematics, Bioinformatics, and Computational Biology, Other - Biometry/Biometrics - Biophysics - Biopsychology - Biostatistics - Biotechnology - Botany/Plant Biology, Other - Botany/Plant Biology - Cell/Cellular Biology and Anatomical Sciences, Other - Cell/Cellular Biology and Histology - Chemical Physics - Chemistry, General - Chemistry, Other - Computational and Applied Mathematics - Computational Biology - Computational Mathematics - Computational Science - Condensed Matter and Materials Physics - Ecology and Evolutionary Biology - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Elementary Particle Physics - Engineering Physics/Applied Physics - Entomology - Environmental Chemistry - Evolutionary Biology - Financial Mathematics - Forensic Chemistry - Genetics, Other - Genome Sciences/Genomics - Geochemistry and Petrology - Geochemistry - Geological and Earth Sciences/Geosciences, Other - Geology/Earth Science, General - Geometry/Geometric Analysis - Geophysics and Seismology - Hydrology and Water Resources Science - Immunology - Inorganic Chemistry - Logic - Marine Biology and Biological Oceanography - Marine Sciences - Materials Chemistry - Materials Sciences, Other - Mathematical Biology - Mathematics and Computer Science - Mathematics and Statistics, Other - Mathematics and Statistics - Mathematics, General - Mathematics, Other - Medical Microbiology and Bacteriology - Medical Scientist - Meteorology - Microbiological Sciences and Immunology, Other - Microbiology and Immunology - Microbiology, General - Molecular Biology - Molecular Genetics - Molecular Medicine - Natural Sciences - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuroscience - Nuclear Physics - Nutrition Sciences - Oceanography, Chemical and Physical - Operations Research - Optics/Optical Sciences - Organic Chemistry - Paleontology - Parasitology - Pathology/Experimental Pathology - Pharmacology - Physical Chemistry - Physical Sciences, Other - Physical Sciences - Physics, General - Physics, Other - Planetary Astronomy and Science - Plant Genetics - Plant Pathology/Phytopathology - Plant Physiology - Plasma and High-Temperature Physics - Polymer Chemistry - Radiation Biology/Radiobiology - Research and Development Management - Science, Technology and Society - Statistics, General - Statistics, Other - Theoretical and Mathematical Physics - Theoretical Chemistry - Topology and Foundations - Toxicology - Virology - Zoology/Animal Biology, Other - Zoology/Animal Biology -"
"Compensation and benefits managers","$126,900","Bachelor's Degree: Human Resources Management/Personnel Administration, General -"
